,job_title,company,location,salary,summary,link
267,Data Science & Analytics Intern (Paid) - Summer 2020,BOEING,"Bellevue, WA",,"At Boeing, we are all innovators on a mission to connect, protect, explore and inspire.From the seabed to outer space, you’ll learn and grow, contributing to…",https://indeed.com//rc/clk?jk=bc4af98337dfd21a&fccid=edae4285faf6c2f0&vjs=3
268,Data Scientist - Intern,Zillow,"Seattle, WA 98101 (Downtown area)",,Zillow is currently seeking a Data Science Intern to join the Decision Science team in our Seattle office.Our team is tasked with absorbing billions of rows of…,https://indeed.com//rc/clk?jk=5c1931d1bab36878&fccid=913e1b259c8d65e2&vjs=3
269,Data & Applied Scientist,Microsoft,"Redmond, WA",,Do you have a passion for gaming and the future of entertainment?Are you excited about the data that drives innovation in the digital entertainment space?,https://indeed.com//rc/clk?jk=e5d206b297a0d112&fccid=734cb5a01ee60f80&vjs=3
270,Data Scientist,"Discovery Communications, LLC","Bellevue, WA",,"Discovery, Inc. is the global leader in real life entertainment.We serve passionate fans with content that inspires, informs, and entertains, providing…",https://indeed.com//rc/clk?jk=ffce5a463dcab4b8&fccid=f17180ffbe436a3c&vjs=3
271,Internship Opportunities for Students: Data & Applied Sciences,Microsoft,"Redmond, WA",,Data Scientists at Microsoft help to improve the quality of experiences on our devices and services.We are looking for highly motivated and passionate Data…,https://indeed.com//rc/clk?jk=7688bf23a4e8e7c6&fccid=734cb5a01ee60f80&vjs=3
272,Data Scientist,ASSURANCE,"Seattle, WA",,"At Assurance we are disrupting the antiquated and inefficient world of insurance and financial services.We are humble, driven, and committed to improving the…",https://indeed.com//rc/clk?jk=1e58d06b2439173c&fccid=5434780ac3971e0d&vjs=3
273,DATA SCIENTIST,University of Washington,"Seattle, WA",,"Notes: As a UW employee, you will enjoy generous benefits and work/life programs.For detailed information on Benefits for this position, click here.",https://indeed.com//rc/clk?jk=478de176e72ea8d1&fccid=142783ac2edbe56b&vjs=3
274,"data scientist, Insights & Analytics - Seattle, WA",Starbucks,"Seattle, WA",,"Now Brewing – data scientist! #tobeapartner.From the beginning, Starbucks set out to be a different kind of company.We’d love to hear from people with:",https://indeed.com//rc/clk?jk=059cf6d0b4f9d270&fccid=a88e611ddef97571&vjs=3
275,Data Scientist,In-Depth Genomics,"Bellevue, WA",,Computational researchers with experience in genomics or other big data efforts are needed to develop and support our rare disease genomics program.,https://indeed.com//rc/clk?jk=a23cedc7cf86d5f0&fccid=4441a1e77a201111&vjs=3
276,Intern Data Scientist,"ExtraHop Networks, Inc.","Seattle, WA 98101 (Downtown area)",,The ExtraHop platform is a novel approach to processing vast amounts of wire data in real-time.Want to join a collaborative team that builds solutions which…,https://indeed.com//rc/clk?jk=b0f8b1ea788df7eb&fccid=5dd0073fb1381f82&vjs=3
277,Data Scientist,"Amazon.com Services, Inc.","Seattle, WA",,"Masters with two years of experience or a Bachelors with five years of experience.Experience in SQL, R, Python, or another scripting language; command line…",https://indeed.com//rc/clk?jk=81666472841d70d3&fccid=fe2d21eef233e94a&vjs=3
278,DATA SCIENTIST,Red Violet Inc.,"Seattle, WA 98101 (Downtown area)",,"Red violet (NASDAQ: RDVT) is a software and services company specializing in big data analysis, providing cloud-based, mission critical analytics and…",https://indeed.com//rc/clk?jk=c3d2721bb607dd92&fccid=f07b32a98707b089&vjs=3
